"No.","Time","Source","Destination","Protocol","Length","Info"
"10777","180.223678","192.168.43.100","114.125.240.13","QUIC","256","0-RTT, DCID=db5978e2727b81cd"
"10778","180.272776","114.125.240.13","192.168.43.100","QUIC","1292","Rejection"
"10779","180.275849","192.168.43.100","114.125.240.13","QUIC","1292","Client Hello"
"10780","180.276311","192.168.43.100","114.125.240.13","QUIC","1292","0-RTT, DCID=db5978e2727b81cd"
"10781","180.276552","192.168.43.100","114.125.240.13","QUIC","256","0-RTT, DCID=db5978e2727b81cd"
"10782","180.310986","114.125.240.13","192.168.43.100","QUIC","1292","0-RTT, SCID=db5978e2727b81cd"
"10783","180.312707","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10784","180.314008","114.125.240.13","192.168.43.100","QUIC","69","Protected Payload (KP0)"
"10785","180.318047","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10786","180.318812","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10787","180.318812","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10788","180.319303","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10789","180.337107","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10790","180.337986","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10791","180.338539","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10792","180.340257","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10793","180.340707","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10794","180.341766","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10795","180.341766","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10796","180.341766","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10797","180.342500","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10798","180.352351","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10799","180.352978","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10800","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10801","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10802","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10803","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10804","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10805","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10806","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10807","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10808","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10809","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10810","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10811","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10812","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10813","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10814","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10815","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10816","180.361504","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10817","180.363634","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10818","180.363936","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10819","180.363962","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10820","180.364192","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10821","180.364429","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10822","180.364675","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10823","180.364956","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10824","180.365184","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10825","180.365422","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10826","180.365809","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10827","180.367971","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10828","180.370390","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10829","180.370390","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10830","180.370390","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10831","180.370390","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10832","180.370390","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10833","180.370390","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10834","180.370913","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10835","180.371169","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10836","180.371407","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10837","180.373128","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10838","180.373439","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10839","180.375451","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10840","180.375451","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10841","180.375451","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10842","180.375451","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10843","180.375451","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10844","180.376032","192.168.43.100","114.125.240.13","QUIC","87","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10845","180.376265","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10846","180.376585","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10847","180.376898","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10848","180.376959","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10849","180.379602","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10850","180.379602","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10851","180.379602","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10852","180.379602","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10853","180.379602","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10854","180.379602","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10855","180.380440","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10856","180.380727","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10857","180.380818","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10858","180.380993","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10859","180.381170","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10860","180.383794","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10861","180.383794","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10862","180.383794","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10863","180.383794","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10864","180.383794","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10865","180.385005","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10866","180.385363","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10867","180.386026","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10868","180.386026","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10869","180.386511","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10870","180.387898","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
"10871","180.388596","192.168.43.100","114.125.240.13","QUIC","75","Protected Payload (KP0), DCID=db5978e2727b81cd"
"10872","180.389090","114.125.240.13","192.168.43.100","QUIC","1292","Protected Payload (KP0)"
